d,phi,u
-0.23959024735541723,-0.1996875942344486,-1.4848769493702114
-0.24051045418564954,-0.19797508215353857,-0.5423128171383399
-0.24142669505353975,-0.19795040141244002,-0.4556483905158692
-0.24234591429718533,-0.19927889259321546,0.39778654390953794
-0.24327262000685113,-0.20122904989553336,-0.41424892200335156
-0.24420092500666257,-0.19997917828811632,-0.35459128891181557
-0.24512145240387095,-0.19782219453590782,-0.46364228903008875
-0.24603072330801878,-0.19505063966335917,-0.8828989057914269
-0.24692997254086824,-0.1934362298251165,-1.169130995087786
-0.24782045802869934,-0.19121687527557274,0.3522355573647519
-0.24869986366514896,-0.1885913554775792,-0.051626280231782444
-0.24956595483307864,-0.18539790837365014,-0.17531435149790991
-0.2504143948552262,-0.1808821431758612,1.6482156302991073
-0.25123821342302355,-0.17465363876096754,-0.6939545759710992
-0.25203696371779816,-0.16995301651814163,0.7284237257860219
-0.2528153354803333,-0.1657769255564294,0.5082854905783109
-0.25357500070444505,-0.16181053002419626,-0.012869256689678102
-0.25432514912621107,-0.16163640042725108,-1.3114272777428089
-0.2550713911788951,-0.1601114806801866,-1.7955133971014714
-0.25581440434776015,-0.1602321387883285,1.3167493386302862
-0.2565602495442916,-0.16134309784424886,0.5071130021481571
-0.2573108041219778,-0.1622804483174839,-0.06335355874340748
-0.25805941169434954,-0.16049623548494313,0.2965596113024831
-0.25879218350653677,-0.15539485972437664,-0.2813739959668221
-0.25950904353701776,-0.15358078814822743,-1.3590692838364709
-0.2602204202160381,-0.15301265998890776,2.466065444253988
-0.260929066668943,-0.15239484427055602,2.3675480383211935
-0.2616364098514321,-0.15244658234052366,-1.293493493709769
-0.2623426926972583,-0.15193431066509921,-0.4769161563062696
-0.26304057671718106,-0.14879942901865326,-1.805760154258413
-0.26373622900180727,-0.15096526074993494,-1.0246775092147458
-0.2644519821665998,-0.1575299828242731,0.9091882319957896
-0.2651900385426542,-0.16065833368689916,-1.533075003904254
-0.2659393519011446,-0.16242529266450895,-0.8791428025598301
-0.2666880283340578,-0.1603813108943952,-0.3432325002009775
-0.2674232647523045,-0.15658103197470907,0.639673122343319
-0.26814632253400994,-0.15508761996058892,-0.8994372439158784
-0.2688559768813652,-0.15075789103607862,0.16576870298900645
-0.2695430084224073,-0.14526478522236078,-0.6849726584288451
-0.2702048403904149,-0.13982450435997335,1.6592053053740234
-0.27084617137936373,-0.136376126200952,-1.1577113367344904
-0.27146853659322057,-0.1316066753852656,-1.0687761366155193
-0.27207110159466463,-0.12780136797100236,-0.19791738929742544
-0.27265412137136846,-0.12314721135275067,0.7368778609779523
-0.2732246538429153,-0.12239878134618393,-0.9154324124157057
-0.27378665608876074,-0.11945791131481374,0.9039669402939459
-0.2743310667369716,-0.11479301539122853,-0.8255379788009648
-0.2748544205702588,-0.11035823561430923,-0.8754551225075548
-0.27536198764326114,-0.10797375394188942,1.3657241249050616
-0.2758550487456699,-0.10409467683591848,1.2402678497141426
-0.2763354819156336,-0.10252263507305248,0.22436634305848172
-0.2768053275138356,-0.09952566060235041,0.45802607228080633
-0.2772581878389775,-0.09519491013484307,0.33511598789528
-0.27769857424466426,-0.09414568229237556,-0.43376270333638706
-0.2781401134318946,-0.09569204139134774,-0.7996377304455343
-0.27858937568165465,-0.09747645731951667,0.766541445931657
-0.2790484622400622,-0.09992982781025353,0.29389689957657394
-0.27951970096434886,-0.10271960096304726,-0.75259461743321
-0.2800010165558169,-0.10427856835506363,-0.7387202714472215
-0.2804854061994857,-0.1040464167990314,-0.9031721907806877
-0.2809723079673505,-0.10536294584888943,1.8494913238569426
-0.2814662503315162,-0.10708584396892289,-1.003833846116931
-0.2819641903252399,-0.10708890954013464,0.6558163828521749
-0.2824587558737375,-0.10562892432162811,0.19440452017314216
-0.28294286567834437,-0.10257535231473117,0.4233546364718966
-0.2834222536784763,-0.10359085574914058,-1.469956305910299
-0.28390142862098156,-0.10248340044657164,1.2628995277018538
-0.284378822330553,-0.10282210090208126,-0.9825602628352177
-0.28485857283366056,-0.10350055590702929,-1.1635632069401847
-0.2853431995545026,-0.10492677861875092,0.35271587025569856
-0.2858272512813549,-0.10325237275362033,0.1578724247712768
-0.2863098549065972,-0.10430172088398655,0.07159116886694805
