d,phi,u
-0.11254771280411324,0.16517314125156357,0.6533957090970417
-0.11179253181308046,0.16092733678116253,0.6301864252477337
-0.1110584783234686,0.15589650938099384,0.6022036213155572
-0.11034892448289346,0.1502077806060045,0.5701999101873467
-0.10966666950842663,0.14398384680503748,0.5349030723049449
-0.10901396097760241,0.137342022273362,0.4970102507073648
-0.1083925199745529,0.13039343081430438,0.45718302496216756
-0.10780356958949244,0.12324234098920292,0.41604333716674013
-0.1072478662658306,0.11598563916813015,0.3741702362112891
-0.10672573348248537,0.10871243350158154,0.3320974005620331
-0.10623709725441088,0.10150378111044661,0.290311394899447
-0.10578152293552412,0.09443253013155678,0.24925061198276832
-0.10535825281720912,0.08756326775097119,0.2093048480541998
-0.10496624403330124,0.08095236499812133,0.1708154578888243
-0.10460420630873601,0.07464810885116263,0.13407603418076774
-0.10427063912302348,0.06869091210710633,0.09933355527356758
-0.1039638678999023,0.0631135914887995,0.06678994523309006
-0.10368207887930703,0.05794170458348091,0.0366039908629644
-0.10342335237530298,0.05319393642357804,0.008893561415559303
-0.10318569417227463,0.048882526818276976,-0.016261921607162055
-0.10296706485983198,0.04501372991355636,-0.038818815098157766
-0.1027654069534174,0.041588297887923946,-0.05876643353270855
-0.10257866969146823,0.03860198117080397,-0.07612412204958086
-0.10240494737785788,0.03599623105439324,-0.09123745580721418
-0.10224247196352465,0.033770112361296435,-0.10410674172279533
-0.10208949083671959,0.03191766948191136,-0.11476245561869058
-0.10194428883511941,0.03042857460839512,-0.12326141885498754
-0.10180520728024112,0.02928874899717298,-0.1296831278576855
-0.10167065878642934,0.02848154732124523,-0.13412269243181663
-0.10153913849451479,0.027988100489001567,-0.13668881254953497
-0.10140923365960264,0.027787672487307454,-0.1375016660549632
-0.10127963155255582,0.0278580218087963,-0.13669076380488965
-0.10114912567468382,0.028175759584786665,-0.13439281951533144
-0.10101662033455205,0.02871669088108613,-0.1307497157171394
-0.10088113367095008,0.02945613739580548,-0.12590657663801738
-0.10074179921374782,0.03036923985658753,-0.12000995850171828
-0.10059786608158128,0.03143123857727805,-0.11320616678107553
-0.10044869792171962,0.03261773086846776,-0.10563970855435229
-0.10029377070261669,0.03390490436070934,-0.09745188594359405
-0.10013266947322175,0.03526974563642934,-0.08877953460108923
-0.09996508420528194,0.036690223879546166,-0.07975390933856882
-0.09979080483563729,0.03814544954201687,-0.07049971725481069
-0.09960971562497978,0.03961580829405204,-0.06113429711062707
-0.09942178894784481,0.04108307076862907,-0.05176694223176004
-0.09922707862573787,0.04253047882989398,-0.042498362897849695
-0.09902571291147089,0.043942809289275686,-0.033420282998758544
-0.09881788722801854,0.04530641616182203,-0.024615164713123416
-0.0986038567596994,0.04660925269930961,-0.016156054083240556
-0.0983839289872962,0.04784087455589925,-0.008106539626493103
-0.09815845625202468,0.048992425537560697,-0.0005208155307098727
-0.09792782842615866,0.05005660745879231,0.006556159474277901
-0.09769246576069524,0.051027635680595894,0.013088416801489644
-0.09745281197288413,0.05190118193304153,0.019048655679596793
-0.09720932762879064,0.05267430603592251,0.02441785332916313
-0.09696248386843476,0.053345378122853525,0.029184817131816865
-0.09671275651354261,0.05391399294957225,0.033345688156805664
-0.09646062059061922,0.05438087782762557,0.03690340519389579
-0.09620654529497275,0.05474779567155804,0.03986713814442999
-0.09595098941456959,0.05501744458300543,0.042251699254323816
-0.09569439722617457,0.05519335532008878,0.04407694024200898
-0.09543719487022129,0.05527978791712411,0.04536714289208077
-0.09517978720531728,0.05528162862906765,0.04615041015845406
-0.0949225551377264,0.05520428827934263,0.046458064262876575
-0.09466585341765876,0.055053602989603115,0.04632405768464243
-0.09441000888804396,0.05483573816755512,0.04578440234119885
-0.09415531916961406,0.05455709652499753,0.04487662164114303
-0.0939020517616953,0.0542242307943543,0.04363922948103993
-0.09365044353568408,0.053843761708945254,0.04211123964661928
-0.09340070059578842,0.053422301711393234,0.040331708480994155
-0.09315299847968117,0.052966384756629944,0.03833931310073613
